director
John Lasseter
Joe Johnston
Howard Deutch
Forest Whitaker
Charles Shyer
Michael Mann
Sydney Pollack
Peter Hewitt
Peter Hyams
Martin Campbell
Rob Reiner
Mel Brooks
Simon Wells
Oliver Stone
Renny Harlin
Martin Scorsese
Ang Lee
Allison Anders
Steve Oedekerk
Joseph Ruben
Barry Sonnenfeld
Jon Amiel
Richard Donner
Victor Salva
Mike Figgis
Oliver Parker
Lesli Linka Glatter
Roger Michell
Jean-Pierre Jeunet
Zhang Yimou
John N. Smith
Terry Gilliam
Chris Noonan
Christopher Hampton
Tim Robbins
Stephen Low
Andy Tennant
Amy Heckerling
Darrell James Roodt
Richard Loncraine
Albert Hughes
Michael Hoffman
Paul W.S. Anderson
Gus Van Sant
Jocelyn Moorhouse
David Fincher
Mike Gabriel
Patricia Rozema
Bryan Singer
Woody Allen
Gianni Amelio
Holly Goldberg Sloan
Ulu Grosbard
Jodie Foster
Michael Radford
Robert Lepage
Frank Oz
John Schlesinger
Stephen Herek
Paris Barclay
Bill Bennett
Jason Bloom
Farhad Mann
Josiane Balasko
F. Gary Gray
Robert Rodriguez
Andrew Sipes
Noah Baumbach
Claude Lelouch
Michael Goldenberg
Christian Duguay
Susanne Ofteringer
Sean Penn
Brian Gibson
Jafar Panahi
Gary Fleder
Marleen Gorris
Tim Reid
Henry Jaglom
Philip Haas
Ridley Scott
Ken Kwapis
Penelope Spheeris
John Badham
Stephen Frears
Wes Craven
Ted Demme
John Woo
Kenneth Branagh
Mathieu Kassovitz
Nick Broomfield
Harold Becker
Wes Anderson
Nick Castle
John Dahl
Dennis Dugan
Clint Eastwood
Brian Henson
Robert Leacock
Mel Gibson
Stanley Tong
Barbet Schroeder
Mort Ransen
Jon Blair
Benjamin Ross
Eric Schaeffer
Andrew Davis
Reginald Hudlin
Wong Kar-wai
Giuseppe Tornatore
David O. Russell
Peter MacDonald
Bryan Gordon
Rebecca Miller
Michael Lindsay-Hogg
William Friedkin
David S. Ward
Dirk Shafer
Jon Avnet
Mike Nichols
Edward Burns
Michael Bay
Christopher Cain
Scott Kalvert
Mike Newell
Hal Hartley
Ron Howard
Michael Caton-Jones
Abel Ferrara
Joel Schumacher
Luis Buñuel
John Boorman
Paul Auster
Michael Moore
Brad Silberling
Spike Lee
Frank Marshall
Tony Scott
Terry Zwigoff
Carl Franklin
John McTiernan
Gregg Araki
Christopher Menaul
Jerry Zucker
Dwight H. Little
Iain Softley
Christopher Ashley
Robert Longo
Danny Cannon
John Fortenberry
Larry Clark
Tom DiCillo
Clive Barker
Denys Arcand
Antonia Bird
Kevin Smith
Bryan Spicer
Anthony Waller
Michael Almereyda
Irwin Winkler
Chris Columbus
Daisy von Scherler Mayer
Gregory Widen
Norman René
Todd Haynes
Roland Joffé
Paul Verhoeven
Wayne Wang
Lasse Hallström
Roger Donaldson
Kathryn Bigelow
Jacques Demy
Wesley Strick
Martha Coolidge
Agnieszka Holland
Beeban Kidron
Geoff Murphy
Diane Keaton
Douglas Keeve
Alfonso Aráu
Kevin Reynolds
Desmond Nakano
Nikita Mikhalkov
Milčo Mančevski
Richard Linklater
Tamra Davis
Guy Ferland
Herbert Ross
Peter Horton
Stuart Gordon
Pat O'Connor
Jeremy Leven
Barry Levinson
Jack Baran
Roman Polanski
Taylor Hackford
Peter Farrelly
Atom Egoyan
Garry Marshall
Tim Burton
Lawrence Kasdan
Billy Crystal
Phillip Borsos
Kevin Lima
Brett Leonard
Carlo Carlei
Gérard Corbiau
Mark Lewis
Art Clokey
Charles Burnett
Steve James
Peter Jackson
Randall Miller
Bernard Rose
Steven Brill
J. F. Lawton
Fred Schepisi
Neil Jordan
James Ivory
James Melkonian
Ivan Reitman
Arne Glimcher
Michael Gottlieb
George Lucas
Gillian Armstrong
Alfonso Cuarón
Ken Loach
Claude Chabrol
Edward Zwick
James Gray
Glenn Gordon Caron
Stephen Gyllenhaal
Nicholas Hytner
James Orr
Nora Ephron
Richard Benjamin
Les Mayfield
David Frankel
Gregory Nava
Marc Rocco
Robert Benton
Michael Apted
Nick Gomez
Vadim Jean
Alan Jacobs
Norman Jewison
Lee Tamahori
Anne Goursaud
Wolfgang Petersen
Luc Besson
Mira Nair
Joshua Brand
Quentin Tarantino
Robert Redford
Kayo Hatta
Patrice Chéreau
Sam Raimi
Peter Yates
Robert Altman
Krzysztof Kieślowski
He Ping
Harold Ramis
Richard Rich
John Sayles
Luis Llosa
Roland Emmerich
John Pasquin
Frank Darabont
Danny Boyle
Scott McGehee
Tomás Gutiérrez Alea
George Huang
Kevin Dowling
Kelly Makin
Rachel Talalay
Ernest R. Dickerson
David Carson
Rusty Cundieff
Brian Gilbert
John Carpenter
Peter Segal
Louis Malle
Steven Soderbergh
Preston A. Whitmore II
Jon Turteltaub
Mina Shum
P.J. Hogan
Melanie Mayron
Tom Shadyac
Stephan Elliott
Phillip Noyce
Jessie Nelson
Alex Proyas
Ron Shelton
Brian Levant
Robert Zemeckis
John Singleton
Andrew Bergman
Stephen Sommers
Ray Müller
Roger Allers
Bernardo Bertolucci
Chuck Russell
Alan Rudolph
Ben Stiller
Donald Petrie
Robert Allan Ackerman
Curtis Hanson
Jan de Bont
Ron Underwood
James Cameron
Luis Mandoki
Damian Harris
Keenen Ivory Wayans
Robert Lee King
Yves Angelo
Russ Meyer
Doug McHenry
Dave Borthwick
Steven E. de Souza
Paul Williams
Andrew Morahan
John G. Avildsen
Jeff Pollack
Michael Lehmann
Paul Michael Glaser
Jonathan Kaplan
Whit Stillman
Bill Forsyth
John Landis
Caroline Thompson
Stephen Hopkins
Tony Richardson
Jennifer Chambers Lynch
Robert De Niro
Adam Resnick
Brian De Palma
Paul Weiland
Mick Jackson
Steve Barron
Richard Rush
Michael Ritchie
Gregg Champion
Marco Brambilla
Bruce Brown
Carl Reiner
Chen Kaige
Peter Weir
Alek Keshishian
Steve Kloves
John Irvin
Simon Wincer
Boaz Yakin
Walter Hill
Rose Troche
Sidney Lumet
Jim Abrahams
Julianna Lavin
Christopher Monger
Bille August
Eric Meza
Joel Coen
James L. Brooks
"Daniel Petrie, Jr."
Jim Sheridan
Matty Rich
Steven Spielberg
Dominic Sena
Roger Avary
Daniel Petrie
James Lapine
David Cronenberg
Stuart Baird
Nagisa Ōshima
Tom Noonan
Anthony Minghella
Mike Leigh
Sally Potter
Jonathan Demme
Jane Campion
Stuart Orme
Mel Smith
Penny Marshall
Philip Kaufman
Alan Parker
Fred Dekker
Peter Medak
Geoffrey Wright
Victor Nunez
David Anspaugh
Cyril Collard
Steven Zaillian
John Waters
Russell Mulcahy
Richard Attenborough
Gillies MacKinnon
John Duigan
Steve Rash
Thomas Schlamme
Rowdy Herrington
Annabel Jankel
Deran Sarafian
François Girard
Andrew Fleming
Henry Selick
George P. Cosmatos
Heywood Gould
D.A. Pennebaker
Jerry Ciccoritti
Mark Malone
Todd Solondz
Claude Berri
Dennis Hopper
Guillermo del Toro
Pedro Almodóvar
Gurinder Chadha
Andrew Scheinman
Lina Wertmüller
George T. Miller
Michael Austin
Rob Epstein
Betty Thomas
Ron Clements
Kevin Costner
David Hand
Gary Trousdale
Hamilton Luske
Sam Peckinpah
C.M. Talkington
Sam Weisman
Bill Condon
David R. Ellis
Gerald Potterton
Kevin Yagher
Matt Reeves
Franco Zeffirelli
Anna Campion
Franco Brusati
Wolfgang Reitherman
Bill Couturié
Werner Herzog
André Téchiné
Martin Lawrence
Stacy Title
Gregory Hoblit
Bruno Barreto
Paul Sabella
Hal Salwen
Richard Pearce
Jonathan Lynn
Tim Sullivan
Jeremiah S. Chechik
Pen Densham
Sönke Wortmann
Rob Cohen
René Clément
James Foley
Paul Mazursky
Emir Kusturica
Alan Mehrez
Satyajit Ray
Jim Mallon
Joe Pytka
Roger Vadim
George Hickenlooper
Jean-Luc Godard
Bertrand Tavernier
Randal Kleiser
Michael Blakemore
Margarethe von Trotta
Norberto Barba
Robert Mandel
Pat Verducci
Michael Winterbottom
Steven Baigelman
Zalman King
Patrick Read Johnson
John Cassavetes
Stacy Cochran
Jean-Claude Van Damme
Mark Joffe
George Scribner
Tom DeCerchio
Alan Shapiro
Jim Jarmusch
Jean-Paul Rappeneau
Jean-Marie Poiré
Brett Thompson
Bruce Beresford
Phil Joanou
Michele Soavi
David Hogan
Mamoru Oshii
Tom Holland
Rick Friedberg
Nick Park
Abraham Polonsky
David Twohy
Stanley Kubrick
Kevin James Dobson
Victor Saville
Helena Solberg
Freida Lee Mock
Joseph Vilsmaier
James Mangold
Francis Ford Coppola
Mary Harron
Charles Matthau
Federico Fellini
Scott Winant
Bobby Farrelly
Carma Hinton
Gérard Mordillat
Bronwen Hughes
Nicole Holofcener
Michael Corrente
Fraser Clarke Heston
Kevin Hooks
Howard Franklin
Nicolas Roeg
Arlene Sanford
Peter Sehr
John Payson
Hugh Wilson
Nigel Finch
Hart Bochner
Doug Ellin
Annette Haywood-Carter
Danny DeVito
Douglas McGrath
Tim Pope
Harry Winer
Georges Franju
Gilbert Adler
Yin Li
Yim Ho
Lee David Zlotoff
Tran Anh Hung
Julian Schnabel
Keisuke Kinoshita
Mikio Naruse
Lana Wachowski
Arthur Hiller
Tsai Ming-liang
Izidore K. Musallam
John Frankenheimer
David M. Evans
David Koepp
Roy Allen Smith
Theo van Gogh
Joe Chappelle
Trevor Nunn
Keith Gordon
Sam Wood
George Cukor
Stanley Donen
Vincente Minnelli
Blake Edwards
Alfred Hitchcock
Frank Capra
Mark Sandrich
Billy Wilder
Michael Curtiz
John Huston
William Wyler
Walter Lang
Victor Fleming
Orson Welles
Joseph L. Mankiewicz
Leo McCarey
Ernst Lubitsch
Rouben Mamoulian
Otto Preminger
Gregory La Cava
George Stevens
Elia Kazan
W.S. Van Dyke
Howard Hawks
Michael Anderson
Victor Sjöström
Archie Mayo
John Cromwell
Busby Berkeley
Henry Koster
James Edward Grant
Lewis Milestone
George A. Romero
Richard Brooks
Frank Borzage
Corey Yuen Kwai
Joshua Logan
Richard Schenkman
