movieId,title
1,Toy Story
2,Jumanji
3,Grumpier Old Men
4,Waiting to Exhale
5,Father of the Bride Part II
6,Heat
7,Sabrina
8,Tom and Huck
9,Sudden Death
10,GoldenEye
11,The American President
12,Dracula: Dead and Loving It
13,Balto
14,Nixon
15,Cutthroat Island
16,Casino
17,Sense and Sensibility
18,Four Rooms
19,Ace Ventura: When Nature Calls
20,Money Train
21,Get Shorty
22,Copycat
23,Assassins
24,Powder
25,Leaving Las Vegas
26,Othello
27,Now and Then
28,Persuasion
29,The City of Lost Children
30,Shanghai Triad
31,Dangerous Minds
32,Twelve Monkeys
34,Babe
35,Carrington
36,Dead Man Walking
37,Across the Sea of Time
38,It Takes Two
39,Clueless
40,"Cry, the Beloved Country"
41,Richard III
42,Dead Presidents
43,Restoration
44,Mortal Kombat
45,To Die For
46,How To Make An American Quilt
47,Se7en
48,Pocahontas
49,When Night Is Falling
50,The Usual Suspects
52,Mighty Aphrodite
53,Lamerica
54,The Big Green
55,Georgia
57,Home for the Holidays
58,The Postman
59,The Confessional
60,The Indian in the Cupboard
61,Eye for an Eye
62,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two If by Sea
65,Bio-Dome
66,Lawnmower Man 2: Beyond Cyberspace
68,French Twist
69,Friday
70,From Dusk Till Dawn
71,Fair Game
72,Kicking and Screaming
73,Les Miserables
74,Bed of Roses
76,Screamers
77,Nico Icon
78,The Crossing Guard
79,The Juror
80,The White Balloon
81,Things to Do in Denver When You're Dead
82,Antonia's Line
83,Once Upon a Time... When We Were Colored
84,Last Summer in the Hamptons
85,Angels and Insects
86,White Squall
87,Dunston Checks In
88,Black Sheep
89,Nick of Time
92,Mary Reilly
93,Vampire in Brooklyn
94,Beautiful Girls
95,Broken Arrow
96,A Midwinter's Tale
97,La Haine
98,Shopping
99,Heidi Fleiss: Hollywood Madam
100,City Hall
101,Bottle Rocket
102,Mr. Wrong
103,Unforgettable
104,Happy Gilmore
105,The Bridges of Madison County
107,Muppet Treasure Island
108,Catwalk
110,Braveheart
111,Taxi Driver
112,Rumble in the Bronx
113,Before and After
114,Margaret's Museum
116,Anne Frank Remembered
117,The Young Poisoner's Handbook
118,If Lucy Fell
119,Steal Big Steal Little
121,The Boys of St. Vincent
122,Boomerang
123,Chungking Express
124,The Star Maker
125,Flirting with Disaster
126,The Neverending Story III: Escape from Fantasia
129,Pie in the Sky
130,Angela
131,Frankie Starlight
132,Jade
135,Down Periscope
137,Man of the Year
140,Up Close & Personal
141,The Birdcage
144,The Brothers McMullen
145,Bad Boys
146,The Amazing Panda Adventure
147,The Basketball Diaries
148,An Awfully Big Adventure
149,Amateur
150,Apollo 13
151,Rob Roy
152,The Addiction
153,Batman Forever
154,Belle de Jour
155,Beyond Rangoon
156,Blue in the Face
157,Canadian Bacon
158,Casper
159,Clockers
160,Congo
161,Crimson Tide
162,Crumb
163,Desperado
164,Devil in a Blue Dress
165,Die Hard: With a Vengeance
166,The Doom Generation
167,Feast of July
168,First Knight
169,Free Willy 2 - The Adventure Home
170,Hackers
171,Jeffrey
172,Johnny Mnemonic
173,Judge Dredd
174,Jury Duty
175,Kids
176,Living in Oblivion
177,Lord of Illusions
178,Love & Human Remains
179,Mad Love
180,Mallrats
181,Mighty Morphin Power Rangers: The Movie
183,Mute Witness
184,Nadja
185,The Net
186,Nine Months
187,Party Girl
188,The Prophecy
189,Reckless
190,Safe
191,The Scarlet Letter
193,Showgirls
194,Smoke
195,Something to Talk About
196,Species
198,Strange Days
199,The Umbrellas of Cherbourg
200,The Tie That Binds
201,Three Wishes
202,Total Eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,Under Siege 2: Dark Territory
205,Unstrung Heroes
206,Unzipped
207,A Walk in the Clouds
208,Waterworld
209,White Man's Burden
211,The Browning Version
213,Burnt by the Sun
214,Before the Rain
215,Before Sunrise
216,Billy Madison
217,The Babysitter
218,Boys on the Side
219,The Cure
