movieId,actor
1,Tom Hanks
1,Tim Allen
1,Don Rickles
1,Jim Varney
1,Wallace Shawn
1,John Ratzenberger
1,Annie Potts
1,John Morris
1,Erik von Detten
1,Laurie Metcalf
1,R. Lee Ermey
1,Sarah Freeman
1,Penn Jillette
2,Robin Williams
2,Jonathan Hyde
2,Kirsten Dunst
2,Bradley Pierce
2,Bonnie Hunt
2,Bebe Neuwirth
2,David Alan Grier
2,Patricia Clarkson
2,Adam Hann-Byrd
2,Laura Bell Bundy
2,James Handy
2,Gillian Barber
2,Brandon Obray
2,Cyrus Thiedeke
2,Gary Joseph Thorup
2,Leonard Zola
2,Lloyd Berry
2,Malcolm Stewart
2,Annabel Kershaw
2,Darryl Henriques
2,Robyn Driscoll
2,Peter Bryant
2,Sarah Gilson
2,Florica Vlad
2,June Lion
2,Brenda Lockmuller
3,Walter Matthau
3,Jack Lemmon
3,Ann-Margret
3,Sophia Loren
3,Daryl Hannah
3,Burgess Meredith
3,Kevin Pollak
4,Whitney Houston
4,Angela Bassett
4,Loretta Devine
4,Lela Rochon
4,Gregory Hines
4,Dennis Haysbert
4,Michael Beach
4,Mykelti Williamson
4,Lamont Johnson
4,Wesley Snipes
5,Steve Martin
5,Diane Keaton
5,Martin Short
5,Kimberly Williams-Paisley
5,George Newbern
5,Kieran Culkin
5,BD Wong
5,Peter Michael Goetz
5,Kate McGregor-Stewart
5,Jane Adams
5,Eugene Levy
5,Lori Alan
6,Al Pacino
6,Robert De Niro
6,Val Kilmer
6,Jon Voight
6,Tom Sizemore
6,Diane Venora
6,Amy Brenneman
6,Ashley Judd
6,Mykelti Williamson
6,Natalie Portman
6,Ted Levine
6,Tom Noonan
6,Tone Loc
6,Hank Azaria
6,Wes Studi
6,Dennis Haysbert
6,Danny Trejo
6,Henry Rollins
6,William Fichtner
6,Kevin Gage
6,Susan Traylor
6,Jerry Trimble
6,Ricky Harris
6,Jeremy Piven
6,Xander Berkeley
6,Begonya Plaza
6,Rick Avery
6,Hazelle Goodman
6,Ray Buktenica
6,Max Daniels
6,Vince Deadrick Jr.
6,Steven Ford
6,Farrah Forke
6,Patricia Healy
6,Paul Herman
6,Cindy Katz
6,Brian Libby
6,Dan Martin
6,Mario Roberts
6,"Thomas Rosales, Jr."
6,Yvonne Zima
6,Mick Gould
6,Bud Cort
6,Viviane Vives
6,Kim Staunton
6,Martin Ferrero
6,Brad Baldridge
6,Andrew Camuccio
6,Kenny Endoso
6,Kimberly Flynn
6,Niki Harris
6,Bill McIntosh
6,Rick Marzan
6,Terry Miller
6,Daniel O'Haco
6,Kai Soremekun
6,Peter Blackwell
6,Trevor Coppola
6,Mary Kircher
6,Darin Mangan
6,Robert Miranda
6,Manny Perry
6,Iva Franks Singer
6,Tim Werner
6,Philip Ettington
7,Harrison Ford
7,Julia Ormond
7,Greg Kinnear
7,Angie Dickinson
7,Nancy Marchand
7,John Wood
7,Richard Crenna
7,Lauren Holly
7,Dana Ivey
7,Fanny Ardant
7,Patrick Bruel
7,Paul Giamatti
7,Miriam Colón
7,Elizabeth Franz
7,Valérie Lemercier
7,Becky Ann Baker
7,John C. Vennema
7,Margo Martindale
7,J. Smith-Cameron
7,Christine Luneau-Lipton
7,Michael Dees
7,Denis Holmes
7,Jo-Jo Lowe
7,Ira Wheeler
7,Philippa Cooper
7,Ayako Kawahara
7,François Genty
7,Guillaume Gallienne
7,Inés Sastre
7,Phina Oruche
7,Andrea Behalikova
7,Jennifer Herrera
7,Kristina Kumlin
7,Eva Linderholm
7,Carmen Chaplin
7,Micheline Van de Velde
7,Joanna Rhodes
7,Alan Boone
7,Patrick Forster-Delmas
7,Kentaro Matsuo
7,Peter McKernan
7,Ed Connelly
7,Ronald L. Schwary
7,Alvin Lum
7,Siching Song
7,Phil Nee
7,Randy Becker
7,Susan Browning
7,Anthony Mondal
7,Peter Parks
7,Woodrow Asai
7,Eric Bruno Borgman
7,Michael Cline
7,Christopher Del Gaudio
7,Philippe Hartmann
7,Jerry Quinn
7,Dori Rosenthal
8,Jonathan Taylor Thomas
8,Brad Renfro
8,Rachael Leigh Cook
8,Michael McShane
8,Amy Wright
8,Eric Schweig
8,Tamara Mello
9,Jean-Claude Van Damme
9,Powers Boothe
9,Dorian Harewood
9,Raymond J. Barry
9,Ross Malinger
9,Whittni Wright
10,Pierce Brosnan
10,Sean Bean
10,Izabella Scorupco
10,Famke Janssen
10,Joe Don Baker
10,Judi Dench
10,Gottfried John
10,Robbie Coltrane
10,Alan Cumming
10,Tchéky Karyo
10,Desmond Llewelyn
10,Samantha Bond
10,Michael Kitchen
10,Serena Gordon
